name,birthRate,pop2020
Afghanistan,37.9,38928.346
Albania,13.2,2877.797
Algeria,22.2,43851.044
American Samoa,19.6,55.191
Andorra,7.5,77.265
Angola,44.2,32866.272
Anguilla,12.5,15.003
Antigua and Barbuda,15.7,97.929
Argentina,16.7,45195.774
Armenia,12.9,2963.243
Aruba,12.4,106.766
Australia,12.1,25499.884
Austria,9.5,9006.398
Azerbaijan,15.8,10139.177
Bahamas,15.3,393.244
Bahrain,13.3,1701.575
Bangladesh,18.8,164689.383
Barbados,11.7,287.375
Belarus,10.3,9449.323
Belgium,11.3,11589.623
Belize,24,397.628
Benin,35,12123.2
Bermuda,11.3,62.278
Bhutan,17.3,771.608
Bolivia,22,11673.021
Bosnia and Herzegovina,8.8,3280.819
Botswana,22.1,2351.627
Brazil,14.1,212559.417
British Virgin Islands,11.1,30.231
Brunei,17,437.479
Bulgaria,8.7,6948.445
Burkina Faso,41.2,20903.273
Burundi,41.3,11890.784
Cambodia,23,16718.965
Cameroon,35.4,26545.863
Canada,10.3,37742.154
Cayman Islands,12,65.722
Central African Republic,34.3,4829.767
Chad,35.6,16425.864
Chile,13.6,19116.201
China,12.3,1439323.776
Colombia,16.1,50882.891
Comoros,26.1,869.601
Cook Islands,14,17.564
Costa Rica,15.5,5094.118
Croatia,8.9,4105.267
Cuba,10.7,11326.616
Cyprus,11.3,1207.359
Denmark,10.5,5792.202
Djibouti,23.4,988
Dominica,15.1,71.986
Dominican Republic,18.4,10847.91
DR Congo,33.5,89561.403
Ecuador,17.9,17643.054
Egypt,29.6,102334.404
El Salvador,16.2,6486.205
Equatorial Guinea,32.2,1402.985
Eritrea,29.6,3546.421
Estonia,10.1,1326.535
Ethiopia,36.5,114963.588
Falkland Islands,10.9,3.48
Faroe Islands,14.3,48.863
Fiji,18.6,896.445
Finland,10.7,5540.72
France,12.2,65273.511
French Polynesia,14.8,280.908
Gabon,34.2,2225.734
Georgia,12.3,3989.167
Germany,8.6,83783.942
Ghana,30.5,31072.94
Gibraltar,14,33.691
Greece,8.4,10423.054
Greenland,14.4,56.77
Grenada,15.5,112.523
Guam,19.7,168.775
Guatemala,24.1,17915.568
Guinea,35.1,13132.795
Guinea-Bissau,32.5,1968.001
Guyana,15.4,786.552
Haiti,23,11402.528
Honduras,22.4,9904.607
Hong Kong,8.9,7496.981
Hungary,9,9660.351
Iceland,13.7,341.243
India,19,1380004.385
Indonesia,16.2,273523.615
Iran,17.9,83992.949
Iraq,30.4,40222.493
Ireland,14.1,4937.786
Isle of Man,11,85.033
Israel,18.1,8655.535
Italy,8.6,60461.826
Ivory Coast,27.7,26378.274
Jamaica,17.9,2961.167
Japan,7.7,126476.461
Jordan,23.9,10203.134
Kazakhstan,18.1,18776.707
Kenya,23.9,53771.296
Kiribati,21.2,119.449
Kuwait,19.2,4270.571
Kyrgyzstan,22.1,6524.195
Laos,23.6,7275.56
Latvia,9.7,1886.198
Lebanon,14.3,6825.445
Lesotho,24.6,2142.249
Liberia,38.3,5057.681
Libya,17.5,6871.292
Liechtenstein,10.4,38.128
Lithuania,9.9,2722.289
Luxembourg,11.5,625.978
Macau,8.6,649.335
Madagascar,31.6,27691.018
Malawi,41,19129.952
Malaysia,19.1,32365.999
Maldives,16.1,540.544
Mali,43.9,20250.833
Malta,10.1,441.543
Marshall Islands,24.4,59.19
Mauritania,30.4,4649.658
Mauritius,13,1271.768
Mexico,18.3,128932.753
Micronesia,20,115.023
Moldova,11.5,4033.963
Monaco,6.6,39.242
Mongolia,18.9,3278.29
Montenegro,10,628.066
Montserrat,10.8,4.992
Morocco,17.7,36910.56
Mozambique,38.1,31255.435
