name,cancerRate,maleCancerRate,femaleCancerRate,pop2020
Australia,468,579.9,363,25499.884
Austria,247.7,273.5,228.4,9006.398
Barbados,247.5,287.6,216.3,287.375
Belarus,260.7,322.4,229.4,9449.323
Belgium,345.8,371.1,329.9,11589.623
Bulgaria,242.8,289.2,212.1,6948.445
Canada,334,343.3,329.7,37742.154
Croatia,287.2,338.7,251.1,4105.267
Cyprus,250.8,277.2,231.5,1207.359
Czech Republic,296.7,348.8,259,10708.981
Denmark,340.4,360.4,325.5,5792.202
Estonia,283.3,364.5,237.6,1326.535
Finland,266.2,281.7,258.5,5540.72
France,344.1,405.6,292.9,65273.511
French Guiana,247,296.6,,298.682
French Polynesia,240.6,272.2,,280.908
Germany,313.1,345.9,289.4,83783.942
Greece,279.8,331.9,238.3,10423.054
Hungary,368.1,427.1,330.6,9660.351
Iceland,257.8,,261.5,341.243
Ireland,373.7,430.8,322.9,4937.786
Israel,233.6,,227.1,8655.535
Italy,290.6,318.8,270.8,60461.826
Japan,248,285.9,220.5,126476.461
Latvia,302.2,375.7,267.6,1886.198
Lebanon,242.8,,248.9,6825.445
Lithuania,285.8,347.2,249.7,2722.289
Luxembourg,309.3,335,292.5,625.978
Malta,249.4,261.1,245.5,441.543
Martinique,250.8,308.9,,375.265
Moldova,254.3,310.5,216.6,4033.963
Netherlands,334.1,355.1,318.9,17134.872
New Caledonia,324.2,357.1,297.3,285.498
New Zealand,438.1,526,358.3,4822.233
Norway,337.8,369.8,311.3,5421.241
Poland,253.8,292.5,229.2,37846.611
Portugal,259.5,312.1,218.4,10196.709
Puerto Rico,254.5,280.1,238.5,2860.853
Serbia,307.9,339.3,284.8,8737.371
Singapore,248.9,280.2,223.2,5850.342
Slovakia,297.5,363.2,251.9,5459.642
Slovenia,304.9,367.6,253.4,2078.938
South Korea,313.5,332.1,310.6,51269.185
Spain,272.3,328.6,227.1,46754.778
Sweden,294.7,313.4,279.8,10099.265
Switzerland,311,343.6,285,8654.622
United States,352.2,393.2,321.2,331002.651
Uruguay,263.4,317.6,225.8,3473.73
