name,3_april_2020
Afghanistan,235
Albania,277
Algeria,847
Andorra,428
Angola,8
Anguilla,3
Antigua and Barbuda,9
Argentina,1133
Armenia,663
Aruba,60
Australia,5224
Austria,11129
Azerbaijan,400
Bahamas,24
Bahrain,643
Bangladesh,56
Barbados,45
Belarus,254
Belgium,15348
Belize,3
Benin,13
Bermuda,35
Bhutan,5
Bolivia,132
Bonaire Sint Eustatius and Saba,2
Bosnia and Herzegovina,532
Botswana,4
Brazil,7910
British Virgin Islands,3
Brunei,133
Bulgaria,457
Burkina Faso,288
Burundi,3
Cambodia,114
Cameroon,271
Canada,11268
Cape Verde,6
Cayman Islands,28
Central African Republic,8
Chad,7
Chile,3404
China,82465
Colombia,1161
Congo,41
Costa Rica,396
Cote d'Ivoire,194
Croatia,1011
Cuba,233
Curacao,11
Cyprus,356
Czech Republic,3858
Democratic Republic of Congo,123
Denmark,3386
Djibouti,41
Dominica,12
Dominican Republic,1380
Ecuador,3163
Egypt,779
El Salvador,46
Equatorial Guinea,15
Eritrea,22
Estonia,858
Ethiopia,29
Faeroe Islands,177
Fiji,7
Finland,1518
France,59105
French Polynesia,37
Gabon,18
Gambia,4
Georgia,121
Germany,73522
Ghana,204
Gibraltar,88
Greece,1514
Greenland,10
Grenada,10
Guam,82
Guatemala,47
Guernsey,91
Guinea,52
Guinea-Bissau,9
Guyana,19
Haiti,18
Honduras,222
Hungary,585
Iceland,1319
India,2301
Indonesia,1790
International,
Iran,50468
Iraq,772
Ireland,3849
Isle of Man,71
Israel,6252
Italy,115242
Jamaica,47
Japan,2617
Jersey,81
Jordan,299
Kazakhstan,386
Kenya,110
Kosovo,125
Kuwait,342
Kyrgyzstan,125
Laos,10
Latvia,458
Lebanon,494
Liberia,6
Libya,11
Liechtenstein,75
Lithuania,649
Luxembourg,2487
Macedonia,354
Madagascar,59
Malawi,3
Malaysia,3116
Maldives,19
Mali,36
Malta,195
Mauritania,6
Mauritius,169
Mexico,1378
Moldova,505
Monaco,60
Mongolia,14
Montenegro,144
Montserrat,5
Morocco,708
Mozambique,10
Myanmar,20
Namibia,13
Nepal,5
Netherlands,14697
New Caledonia,16
New Zealand,772
Nicaragua,5
Niger,74
Nigeria,174
Northern Mariana Islands,8
Norway,4935
Oman,231
Pakistan,2291
Palestine,155
Panama,1475
Papua New Guinea,1
Paraguay,77
Peru,1414
Philippines,2633
Poland,2946
Portugal,9034
Puerto Rico,316
Qatar,949
Romania,2738
Russia,3548
Rwanda,82
Saint Barthlemy,
Saint Kitts and Nevis,8
Saint Lucia,13
Saint Vincent and the Grenadines,2
San Marino,245
Saudi Arabia,1885
Senegal,195
Serbia,1171
Seychelles,10
Sierra Leone,2
Singapore,1049
Sint Maarten (Dutch part),23
Slovakia,426
Slovenia,897
Somalia,5
South Africa,1462
South Korea,10062
Spain,110238
Sri Lanka,148
Sudan,7
Suriname,10
Swaziland,9
Sweden,5466
Switzerland,18844
Syria,16
Taiwan,339
Tanzania,21
Thailand,1875
Timor,1
Togo,39
Trinidad and Tobago,97
Tunisia,455
Turkey,18135
Turks and Caicos Islands,5
Uganda,45
Ukraine,804
United Arab Emirates,1024
United Kingdom,33718
United States,245540
United States Virgin Islands,33
Uruguay,369
Uzbekistan,190
Vatican,6
Venezuela,144
Vietnam,239
Zambia,39
Zimbabwe,8
