name,healthcareRank,pop2020
Albania,55,2877.797
Algeria,81,43851.044
Andorra,4,77.265
Antigua and Barbuda,86,97.929
Argentina,75,45195.774
Australia,32,25499.884
Austria,9,9006.398
Bahamas,94,393.244
Bahrain,42,1701.575
Bangladesh,88,164689.383
Barbados,46,287.375
Belarus,72,9449.323
Belgium,21,11589.623
Belize,69,397.628
Benin,97,12123.2
Bosnia and Herzegovina,90,3280.819
Brunei,40,437.479
Canada,30,37742.154
Chile,33,19116.201
Colombia,22,50882.891
Costa Rica,36,5094.118
Croatia,43,4105.267
Cuba,39,11326.616
Cyprus,24,1207.359
Czech Republic,48,10708.981
Denmark,34,5792.202
Dominica,35,71.986
Dominican Republic,51,10847.91
Egypt,63,102334.404
Estonia,77,1326.535
Fiji,96,896.445
Finland,31,5540.72
France,1,65273.511
Germany,25,83783.942
Greece,14,10423.054
Grenada,85,112.523
Guatemala,78,17915.568
Hungary,66,9660.351
Iceland,15,341.243
Indonesia,92,273523.615
Iran,93,83992.949
Ireland,19,4937.786
Israel,28,8655.535
Italy,2,60461.826
Jamaica,53,2961.167
Japan,10,126476.461
Jordan,83,10203.134
Kazakhstan,64,18776.707
Kuwait,45,4270.571
Lebanon,91,6825.445
Libya,87,6871.292
Lithuania,73,2722.289
Luxembourg,16,625.978
Malaysia,49,32365.999
Malta,5,441.543
Mauritius,84,1271.768
Mexico,61,128932.753
Monaco,13,39.242
Morocco,29,36910.56
Nauru,98,10.824
Netherlands,17,17134.872
New Zealand,41,4822.233
Nicaragua,71,6624.554
Norway,11,5421.241
Oman,8,5106.626
Palau,82,18.094
Panama,95,4314.767
Paraguay,57,7132.538
Philippines,60,109581.078
Poland,50,37846.611
Portugal,12,10196.709
Qatar,44,2881.053
Romania,99,19237.691
Saint Kitts and Nevis,100,53.199
Saint Lucia,68,183.627
Saint Vincent and the Grenadines,74,110.94
San Marino,3,33.931
Saudi Arabia,26,34813.871
Senegal,59,16743.927
Seychelles,56,98.347
Singapore,6,5850.342
Slovakia,62,5459.642
Slovenia,38,2078.938
Solomon Islands,80,686.884
South Korea,58,51269.185
Spain,7,46754.778
Sri Lanka,76,21413.249
Sweden,23,10099.265
Switzerland,20,8654.622
Thailand,47,69799.978
Trinidad and Tobago,67,1399.488
Tunisia,52,11818.619
Turkey,70,84339.067
Ukraine,79,43733.762
United Arab Emirates,27,9890.402
United Kingdom,18,67886.011
United States,37,331002.651
Uruguay,65,3473.73
Venezuela,54,28435.94
