name,literacyRate,pop2020
Afghanistan,38.2,38928.346
Albania,97.6,2877.797
Algeria,80.2,43851.044
Angola,71.1,32866.272
Antigua and Barbuda,99,97.929
Argentina,98.1,45195.774
Armenia,99.7,2963.243
Aruba,97.5,106.766
Azerbaijan,99.8,10139.177
Bahrain,95.7,1701.575
Bangladesh,61.5,164689.383
Belarus,99.7,9449.323
Benin,38.4,12123.2
Bhutan,64.9,771.608
Bolivia,95.7,11673.021
Bosnia and Herzegovina,98.5,3280.819
Botswana,88.5,2351.627
Brazil,92.6,212559.417
Brunei,96,437.479
Bulgaria,98.4,6948.445
Burkina Faso,36,20903.273
Burundi,85.6,11890.784
Cambodia,77.2,16718.965
Cameroon,75,26545.863
Cape Verde,87.6,555.987
Cayman Islands,98.9,65.722
Central African Republic,36.8,4829.767
Chad,40.2,16425.864
Chile,97.5,19116.201
China,96.4,1439323.776
Colombia,94.7,50882.891
Comoros,77.8,869.601
Costa Rica,97.8,5094.118
Croatia,99.3,4105.267
Cuba,99.8,11326.616
Cyprus,99.1,1207.359
Czech Republic,99,10708.981
Dominican Republic,91.8,10847.91
DR Congo,63.8,89561.403
Ecuador,94.5,17643.054
Egypt,73.8,102334.404
El Salvador,88,6486.205
Equatorial Guinea,95.3,1402.985
Eritrea,73.8,3546.421
Estonia,99.8,1326.535
Ethiopia,49.1,114963.588
Gabon,83.2,2225.734
Gambia,55.5,2416.668
Georgia,99.8,3989.167
Ghana,76.6,31072.94
Greece,97.7,10423.054
Guatemala,81.5,17915.568
Guinea,30.4,13132.795
Guinea-Bissau,59.9,1968.001
Guyana,88.5,786.552
Haiti,60.7,11402.528
Honduras,88.5,9904.607
Hungary,99.1,9660.351
India,71.2,1380004.385
Indonesia,93.9,273523.615
Iran,86.8,83992.949
Iraq,79.7,40222.493
Israel,97.8,8655.535
Italy,99.2,60461.826
Ivory Coast,43.1,26378.274
Jamaica,88.7,2961.167
Jordan,95.4,10203.134
Kazakhstan,99.8,18776.707
Kenya,78,53771.296
Kuwait,96.3,4270.571
Kyrgyzstan,99.5,6524.195
Laos,79.9,7275.56
Latvia,99.9,1886.198
Lebanon,93.9,6825.445
Lesotho,79.4,2142.249
Liberia,47.6,5057.681
Libya,91,6871.292
Lithuania,99.8,2722.289
Macau,96.2,649.335
Madagascar,64.7,27691.018
Malawi,65.8,19129.952
Malaysia,94.6,32365.999
Maldives,99.3,540.544
Mali,38.7,20250.833
Malta,94.4,441.543
Mauritania,52.1,4649.658
Mauritius,90.6,1271.768
Mexico,95.1,128932.753
Moldova,99.4,4033.963
Mongolia,98.4,3278.29
Montenegro,98.7,628.066
Morocco,68.5,36910.56
Mozambique,58.8,31255.435
Myanmar,93.1,54409.8
Namibia,81.9,2540.905
Nepal,63.9,29136.808
New Caledonia,96.9,285.498
Nicaragua,82.8,6624.554
Niger,19.1,24206.644
Nigeria,59.6,206139.589
North Korea,100,25778.816
Oman,91.1,5106.626
Pakistan,57.9,220892.34
Palau,99.5,18.094
Palestine,96.5,5101.414
Panama,95,4314.767
Papua New Guinea,64.2,8947.024
Paraguay,93.9,7132.538
Peru,94.5,32971.854
Philippines,96.3,109581.078
Poland,99.8,37846.611
Portugal,95.7,10196.709
Puerto Rico,93.3,2860.853
Qatar,97.3,2881.053
Republic of the Congo,79.3,5518.087
Romania,98.8,19237.691
Russia,99.7,145934.462
Rwanda,70.5,12952.218
Samoa,99,198.414
Saudi Arabia,94.7,34813.871
Senegal,57.7,16743.927
Serbia,98.1,8737.371
Seychelles,91.8,98.347
Sierra Leone,48.1,7976.983
Singapore,96.8,5850.342
Slovenia,99.7,2078.938
Solomon Islands,84.1,686.884
South Africa,94.3,59308.69
South Sudan,27,11193.725
Spain,98.1,46754.778
Sri Lanka,92.6,21413.249
Sudan,75.9,43849.26
Suriname,95.6,586.632
Syria,86.4,17500.658
Taiwan,98.5,23816.775
Tajikistan,99.8,9537.645
Tanzania,70.6,59734.218
Thailand,96.7,69799.978
Timor-Leste,67.5,1318.445
Togo,66.5,8278.724
Tonga,99.4,105.695
Trinidad and Tobago,99,1399.488
Tunisia,81.8,11818.619
Turkey,95,84339.067
Turkmenistan,99.7,6031.2
Uganda,78.4,45741.007
Ukraine,99.8,43733.762
United Arab Emirates,93.8,9890.402
Uruguay,98.5,3473.73
Uzbekistan,99.6,33469.203
Vanuatu,85.2,307.145
Venezuela,96.3,28435.94
Vietnam,94.5,97338.579
Yemen,70.1,29825.964
Zambia,63.4,18383.955
Zimbabwe,86.5,14862.924
