name,Median,Median Male,Median Female
Afghanistan,18.8,18.8,18.9
Albania,32.9,31.6,34.3
Algeria,28.1,27.8,28.4
American Samoa,25.5,25.1,26
Andorra,44.3,44.4,44.1
Angola,15.9,15.4,16.3
Anguilla,34.8,32.9,36.7
Antigua and Barbuda,31.9,30,33.5
Argentina,31.7,30.5,32.9
Armenia,35.1,33.3,36.9
Aruba,39.3,37.5,41.1
Australia,38.7,37.9,39.5
Austria,44,42.8,45.1
Azerbaijan,31.3,29.8,33
Bahrain,32.3,33.8,29.5
Bangladesh,26.7,26,27.3
Barbados,38.6,37.5,39.8
Belarus,40,37.1,43.1
Belgium,41.4,40.2,42.7
Belize,22.7,22.5,22.9
Benin,18.2,17.9,18.6
Bermuda,43.4,41.5,45.3
Bhutan,27.6,28.2,27.1
Bolivia,24.3,23.6,25
Bosnia and Herzegovina,42.1,40.5,43.5
Botswana,24.5,23.5,25.6
Brazil,32,31.1,32.8
British Virgin Islands,36.5,36.3,36.6
Brunei,30.2,29.7,30.7
Bulgaria,42.7,40.9,44.7
Burkina Faso,17.3,17.1,17.4
Burundi,17,16.8,17.3
Cambodia,25.3,24.6,26
Cameroon,18.5,18.4,18.7
Canada,42.2,40.9,43.5
Cayman Islands,40,39.3,40.7
Central African Republic,19.7,19.4,20
Chad,17.8,16.8,18.8
Chile,34.4,33.2,35.6
China,37.4,36.5,38.4
Colombia,30,29,31
Comoros,19.9,19.2,20.5
Cook Islands,36.5,36,37
Costa Rica,31.3,30.8,31.8
Croatia,43,41.1,45
Cuba,41.5,40.1,42.6
Cyprus,36.8,35.5,38.3
Czech Republic,42.1,40.8,43.4
Denmark,42.2,41.2,43.2
Djibouti,23.9,22.1,25.3
Dominica,33.5,33,34
Dominican Republic,28.1,27.9,28.3
Ecuador,27.7,27,28.4
Egypt,23.9,23.6,24.2
El Salvador,27.1,25.6,28.6
Equatorial Guinea,19.8,19.3,20.3
Eritrea,19.7,19.2,20.1
Estonia,42.7,39.4,46.1
Ethiopia,17.9,17.7,18.1
Faroe Islands,37.6,37.1,38.3
Fiji,28.9,28.7,29.1
Finland,42.5,40.9,44.3
France,41.4,39.6,43.1
French Polynesia,31.9,31.7,32.1
Gabon,18.6,18.4,18.8
Georgia,38.1,35.3,40.9
Germany,47.1,46,48.2
Ghana,21.1,20.6,21.6
Gibraltar,34.7,33.8,35.7
Greece,44.5,43.5,45.6
Greenland,33.9,35,32.7
Grenada,31.5,31.5,31.6
Guam,29,28.3,29.7
Guatemala,22.1,21.4,22.8
Guernsey,43.8,42.5,45.1
Guinea,18.9,18.7,19.1
Guinea-Bissau,20.1,19.7,20.6
Guyana,26.2,25.9,26.6
Haiti,23,22.7,23.2
Honduras,23,22.6,23.3
Hong Kong,44.4,43.5,45
Hungary,42.3,40.4,44.3
Iceland,36.5,35.9,37.1
India,27.9,27.2,28.6
Indonesia,30.2,29.6,30.8
