name,pop2020,area,Density
Afghanistan,38928.346,652230,59.685
Albania,2877.797,28748,100.1043
Algeria,43851.044,2381741,18.4113
American Samoa,55.191,199,277.3417
Andorra,77.265,468,165.0962
Angola,32866.272,1246700,26.3626
Anguilla,15.003,91,164.8681
Antigua and Barbuda,97.929,442,221.5588
Argentina,45195.774,2780400,16.2551
Armenia,2963.243,29743,99.6282
Aruba,106.766,180,593.1444
Australia,25499.884,7692024,3.3151
Austria,9006.398,83871,107.3839
Azerbaijan,10139.177,86600,117.0806
Bahamas,393.244,13943,28.2037
Bahrain,1701.575,765,2224.281
Bangladesh,164689.383,147570,1116.0086
Barbados,287.375,430,668.314
Belarus,9449.323,207600,45.517
Belgium,11589.623,30528,379.6391
Belize,397.628,22966,17.3138
Benin,12123.2,112622,107.645
Bermuda,62.278,54,1153.2963
Bhutan,771.608,38394,20.0971
Bolivia,11673.021,1098581,10.6255
Bosnia and Herzegovina,3280.819,51209,64.0672
Botswana,2351.627,582000,4.0406
Brazil,212559.417,8515767,24.9607
British Virgin Islands,30.231,151,200.2053
Brunei,437.479,5765,75.8853
Bulgaria,6948.445,110879,62.6669
Burkina Faso,20903.273,272967,76.578
Burundi,11890.784,27834,427.2036
Cambodia,16718.965,181035,92.3521
Cameroon,26545.863,475442,55.8341
Canada,37742.154,9984670,3.78
Cape Verde,555.987,4033,137.8594
Cayman Islands,65.722,264,248.947
Central African Republic,4829.767,622984,7.7526
Chad,16425.864,1284000,12.7927
Chile,19116.201,756102,25.2826
China,1439323.776,9706961,148.2775
Colombia,50882.891,1141748,44.5658
Comoros,869.601,1862,467.0252
Cook Islands,17.564,236,74.4237
Costa Rica,5094.118,51100,99.6892
Croatia,4105.267,56594,72.5389
Cuba,11326.616,109884,103.0779
Curacao,164.093,444,369.5788
Cyprus,1207.359,9251,130.5112
Czech Republic,10708.981,78865,135.7888
Denmark,5792.202,43094,134.4085
Djibouti,988,23200,42.5862
Dominica,71.986,751,95.8535
Dominican Republic,10847.91,48671,222.8824
DR Congo,89561.403,2344858,38.1948
Ecuador,17643.054,276841,63.7299
Egypt,102334.404,1002450,102.0843
El Salvador,6486.205,21041,308.2651
Equatorial Guinea,1402.985,28051,50.0155
Eritrea,3546.421,117600,30.1566
Estonia,1326.535,45227,29.3306
Ethiopia,114963.588,1104300,104.1054
Falkland Islands,3.48,12173,0.2859
Faroe Islands,48.863,1393,35.0775
Fiji,896.445,18272,49.0611
Finland,5540.72,338424,16.3721
France,65273.511,551695,118.3145
French Guiana,298.682,83534,3.5756
French Polynesia,280.908,4167,67.4125
Gabon,2225.734,267668,8.3153
Gambia,2416.668,10689,226.0893
Georgia,3989.167,69700,57.2334
Germany,83783.942,357114,234.614
Ghana,31072.94,238533,130.2668
Gibraltar,33.691,6,5615.1667
Greece,10423.054,131990,78.9685
Greenland,56.77,2166086,0.0262
Grenada,112.523,344,327.1017
Guadeloupe,400.124,1628,245.7764
Guam,168.775,549,307.4226
Guatemala,17915.568,108889,164.5306
Guinea,13132.795,245857,53.4164
